DATE,KYUR,INUR,AKUR,HIUR
2009-01-01,9.4,9.0,7.2,5.9
2009-02-01,10.0,9.8,7.4,6.2
2009-03-01,10.6,10.3,7.7,6.5
2009-04-01,10.9,10.7,7.9,6.6
2009-05-01,11.1,10.8,8.0,6.7
2009-06-01,11.2,10.8,8.1,6.8
2009-07-01,11.2,10.7,8.1,6.8
2009-08-01,11.1,10.7,8.2,6.8
2009-09-01,11.0,10.6,8.2,6.9
2009-10-01,10.9,10.600,8.3,6.9
2009-11-01,10.9,10.6,8.3,6.9
2009-12-01,10.9,10.6,8.4,6.9
2010-01-01,10.9,10.7,8.4,6.9
2010-02-01,10.8,10.7,8.4,6.9
2010-03-01,10.7,10.6,8.4,6.9
2010-04-01,10.5,10.4,8.3,6.8
2010-05-01,10.3,10.3,8.2,6.8
2010-06-01,10.1,10.1,8.0,6.8
2010-07-01,10.0,10.0,7.9,6.8
2010-08-01,10.0,9.9,7.9,6.8
2010-09-01,10.000,9.8,8.0,6.8
2010-10-01,10.000,9.7,8.0,6.8
2010-11-01,10.000,9.5,8.1,6.8
2010-12-01,9.9,9.3,8.0,6.800
2011-01-01,9.800,9.1,8.0,6.8
2011-02-01,9.6,8.9,7.9,6.700
2011-03-01,9.5,8.8,7.8,6.700
2011-04-01,9.5,8.7,7.8,6.700
2011-05-01,9.5,8.8,7.7,6.8
2011-06-01,9.5,8.9,7.7,6.9
2011-07-01,9.5,9.1,7.7,7.0
2011-08-01,9.4,9.1,7.7,7.0
2011-09-01,9.3,9.1,7.7,7.0
2011-10-01,9.2,9.0,7.7,6.900
2011-11-01,9.0,8.8,7.6,6.8
2011-12-01,8.7,8.6,7.5,6.7
2012-01-01,8.5,8.4,7.5,6.6
2012-02-01,8.4,8.3,7.4,6.5
2012-03-01,8.2,8.2,7.4,6.4
2012-04-01,8.2,8.2,7.3,6.3
2012-05-01,8.2,8.2,7.3,6.2
2012-06-01,8.2,8.2,7.3,6.100
2012-07-01,8.200,8.2,7.2,5.9
2012-08-01,8.200,8.2,7.2,5.7
2012-09-01,8.1,8.2,7.1,5.5
2012-10-01,8.100,8.2,7.1,5.3
2012-11-01,8.100,8.2,7.1,5.2
2012-12-01,8.0,8.2,7.1,5.1
2013-01-01,8.0,8.2,7.1,5.0
2013-02-01,8.0,8.2,7.0,4.9
2013-03-01,8.0,8.1,7.0,4.9
2013-04-01,8.0,8.0,7.0,4.8
2013-05-01,8.0,7.8,7.0,4.7
2013-06-01,8.0,7.7,7.0,4.7
2013-07-01,8.0,7.5,7.0,4.7
2013-08-01,8.0,7.3,7.0,4.7
2013-09-01,7.9,7.1,7.0,4.7
2013-10-01,7.8,6.9,7.0,4.7
2013-11-01,7.7,6.7,6.9,4.7
2013-12-01,7.6,6.5,6.9,4.6
2014-01-01,7.500,6.4,6.9,4.6
2014-02-01,7.3,6.3,6.9,4.5
2014-03-01,7.200,6.2,6.9,4.4
2014-04-01,7.000,6.1,6.9,4.4
2014-05-01,6.7,6.1,6.9,4.4
2014-06-01,6.500,6.0,6.9,4.3
2014-07-01,6.3,5.9,6.8,4.2
2014-08-01,6.0,5.8,6.8,4.1
2014-09-01,5.9,5.8,6.7,4.1
2014-10-01,5.7,5.7,6.5,4.0
2014-11-01,5.5,5.6,6.4,3.9
2014-12-01,5.4,5.5,6.3,3.9
2015-01-01,5.3,5.4,6.2,3.8
2015-02-01,5.3,5.2,6.3,3.8
2015-03-01,5.3,5.1,6.3,3.7
2015-04-01,5.3,4.9,6.3,3.6
2015-05-01,5.2,4.8,6.3,3.5
2015-06-01,5.2,4.7,6.3,3.4
2015-07-01,5.2,4.6,6.2,3.3
2015-08-01,5.2,4.600,6.2,3.3
2015-09-01,5.2,4.5,6.2,3.2
2015-10-01,5.2,4.5,6.3,3.2
2015-11-01,5.2,4.5,6.3,3.1
2015-12-01,5.2,4.6,6.4,3.1
2016-01-01,5.2,4.6,6.4,3.0
2016-02-01,5.1,4.6,6.5,3.0
2016-03-01,5.1,4.6,6.5,3.0
2016-04-01,5.0,4.6,6.5,3.0
2016-05-01,4.9,4.5,6.6,3.0
2016-06-01,4.9,4.4,6.6,2.9
2016-07-01,4.9,4.4,6.6,2.9
2016-08-01,5.0,4.3,6.7,2.9
2016-09-01,5.0,4.2,6.7,2.8
2016-10-01,5.1,4.1,6.7,2.8
2016-11-01,5.1,4.1,6.7,2.7
2016-12-01,5.1,4.0,6.7,2.7
2017-01-01,5.1,3.8,6.6,2.6
2017-02-01,5.0,3.7,6.6,2.5
2017-03-01,5.0,3.6,6.5,2.5
2017-04-01,5.0,3.5,6.5,2.4
2017-05-01,4.9,3.4,6.5,2.3
2017-06-01,4.9,3.4,6.5,2.2
2017-07-01,4.8,3.5,6.5,2.1
2017-08-01,4.7,3.5,6.5,2.0
2017-09-01,4.6,3.5,6.5,2.0
2017-10-01,4.5,3.4,6.5,2.0
2017-11-01,4.4,3.3,6.4,2.0
2017-12-01,4.3,3.3,6.4,2.0
2018-01-01,4.2,3.3,6.3,2.1
2018-02-01,4.2,3.3,6.2,2.1
2018-03-01,4.2,3.3,6.1,2.1
2018-04-01,4.2,3.4,6.0,2.2
2018-05-01,4.2,3.4,5.9,2.2
2018-06-01,4.2,3.4,5.9,2.3
2018-07-01,4.2,3.4,5.8,2.4
2018-08-01,4.2,3.4,5.8,2.4
2018-09-01,4.2,3.4,5.8,2.5
2018-10-01,4.2,3.4,5.8,2.6
2018-11-01,4.2,3.4,5.8,2.7
2018-12-01,4.2,3.5,5.8,2.7
2019-01-01,4.2,3.5,5.8,2.7
2019-02-01,4.2,3.4,5.7,2.7
2019-03-01,4.1,3.3,5.6,2.6
2019-04-01,4.1,3.3,5.5,2.6
2019-05-01,4.1,3.2,5.4,2.5
2019-06-01,4.1,3.2,5.4,2.5
2019-07-01,4.1,3.2,5.4,2.5
2019-08-01,4.1,3.2,5.4,2.4
2019-09-01,4.1,3.2,5.3,2.3
2019-10-01,4.1,3.1,5.2,2.2
2019-11-01,4.1,3.1,5.0,2.1
2019-12-01,4.1,3.1,5.0,2.1
2020-01-01,4.1,3.2,5.0,2.0
2020-02-01,4.2,3.2,5.1,2.1
2020-03-01,4.2,3.3,5.1,2.1
2020-04-01,16.9,16.9,11.8,21.9
2020-05-01,10.9,12.0,11.6,21.9
2020-06-01,5.7,10.1,11.3,14.1
2020-07-01,5.6,8.6,11.0,14.1
2020-08-01,5.5,7.3,7.2,14.1
2020-09-01,5.5,6.3,7.0,14.8
2020-10-01,5.5,5.6,6.5,14.0
2020-11-01,5.6,5.0,6.5,10.3
2020-12-01,5.6,4.6,6.5,10.3
2021-01-01,5.3,4.2,6.6,10.3
2021-02-01,5.2,4.0,6.6,9.2
2021-03-01,5.0,3.9,6.7,9.1
2021-04-01,4.7,3.9,6.7,8.5
2021-05-01,4.5,4.0,6.7,8.1
