"Year","state","fmhpi"
2014,"ID",143.1471642425
2015,"ID",152.2878901125
2016,"ID",164.188832975833
2017,"ID",179.759273923333
2018,"ID",201.793441260833
2019,"ID",225.544192215
2020,"ID",258.5482486125
2021,"ID",334.254408573333
1975,"IL",26.1615658639167
1976,"IL",28.975902044
1977,"IL",32.45986112525
1978,"IL",37.17205516375
1979,"IL",39.9103731991667
1980,"IL",40.4513157148333
1981,"IL",42.0435570556667
1982,"IL",40.6628344144167
1983,"IL",42.1619142886667
1984,"IL",43.8887113839167
1985,"IL",45.4699795041667
1986,"IL",48.6007614928333
1987,"IL",53.0917758725
1988,"IL",57.54700551375
1989,"IL",62.0230159305
1990,"IL",65.4791755803333
1991,"IL",67.6657927353333
1992,"IL",70.3154761509167
1993,"IL",73.1062995469167
1994,"IL",75.9973788878333
1995,"IL",78.2749839839167
1996,"IL",80.7398132968333
1997,"IL",82.8599840369167
1998,"IL",85.7219623238333
1999,"IL",90.5230345438333
2000,"IL",96.9894325126667
2001,"IL",103.555539791667
2002,"IL",110.794571685833
2003,"IL",118.878382693333
2004,"IL",127.80343637
2005,"IL",137.7929771075
2006,"IL",144.941868271667
2007,"IL",144.6478733675
2008,"IL",134.476871801667
2009,"IL",121.993953534167
2010,"IL",116.142735699167
2011,"IL",108.149288929167
2012,"IL",105.547429784167
2013,"IL",111.373629994167
2014,"IL",117.1098415025
2015,"IL",120.311602911667
2016,"IL",124.771153221667
2017,"IL",129.817622060833
2018,"IL",133.712631305833
2019,"IL",136.169541876667
2020,"IL",141.352916251667
2021,"IL",156.002412723333
1975,"IN",33.1644608154167
1976,"IN",35.0743566150833
1977,"IN",38.1535478200833
1978,"IN",43.0387437019167
1979,"IN",47.2974932845
1980,"IN",49.0787116741667
1981,"IN",50.4865683944167
1982,"IN",48.9930014011667
1983,"IN",49.5936553561667
1984,"IN",50.5083526354167
1985,"IN",52.5689681193333
1986,"IN",55.3242956305833
1987,"IN",57.8732468294167
1988,"IN",60.8547129025
1989,"IN",63.9543809639167
1990,"IN",66.4973471744167
1991,"IN",68.9311972823333
1992,"IN",72.0286728296667
1993,"IN",75.3634138785833
1994,"IN",79.14240748825
1995,"IN",82.4480364378333
1996,"IN",86.2765899969167
1997,"IN",89.0508540934167
1998,"IN",91.8541044195
1999,"IN",95.34608244975
2000,"IN",99.176150405
2001,"IN",100.993628465
2002,"IN",103.544079755
2003,"IN",105.667527058333
2004,"IN",108.581698443333
2005,"IN",111.4590966175
2006,"IN",113.638039504167
2007,"IN",113.640243535
2008,"IN",109.869226755
2009,"IN",106.595642965833
2010,"IN",106.111492625833
2011,"IN",104.581544060833
2012,"IN",105.19748766
2013,"IN",109.384514715833
2014,"IN",113.125583950833
2015,"IN",117.220359695
2016,"IN",121.999456529167
2017,"IN",128.582662429167
2018,"IN",137.407504888333
2019,"IN",145.599195015
2020,"IN",158.197859751667
2021,"IN",179.827875047778
1975,"KS",34.8797754905
1976,"KS",37.36132366725
1977,"KS",41.968665127
1978,"KS",47.1608797995833
1979,"KS",51.3828116821667
1980,"KS",54.452753106
1981,"KS",56.8007696476667
1982,"KS",57.6626920734167
1983,"KS",58.02330532025
